Country,Continent,emission_capita,group_id,average,result
Slovakia,Europe,685.7293015,28,223.692645,1
Slovenia,Europe,401.4916201,29,223.692645,1
Spain,Europe,312.3162483,30,223.692645,1
Sweden,Europe,472.8212705,31,223.692645,1
Switzerland,Europe,345.8376977,32,223.692645,1
Ukraine,Europe,769.7183325,33,223.692645,1
United Kingdom,Europe,1157.789624,34,223.692645,1
Albania,Europe,100.4469611,35,223.692645,0
Andorra,Europe,188.8013379,36,223.692645,0
Kosovo,Europe,58.61381551,37,223.692645,0
Liechtenstein,Europe,155.3924276,38,223.692645,0
Malta,Europe,196.1262775,39,223.692645,0
Montenegro,Europe,165.2432313,40,223.692645,0
Antigua and Barbuda,North America,229.5871826,1,223.692645,1
Bahamas,North America,413.4771089,2,223.692645,1
Canada,North America,873.1590422,3,223.692645,1
Greenland,North America,585.3166684,4,223.692645,1
Martinique,North America,240.1964071,5,223.692645,1
Trinidad and Tobago,North America,1025.157423,6,223.692645,1
United States of America,North America,1232.670715,7,223.692645,1
Barbados,North America,194.8441671,8,223.692645,0
Belize,North America,47.03722932,9,223.692645,0
Costa Rica,North America,49.23190439,10,223.692645,0
Cuba,North America,143.9726843,11,223.692645,0
Dominica,North America,66.08727333,12,223.692645,0
Dominican Republic,North America,66.58908616,13,223.692645,0
El Salvador,North America,36.59332393,14,223.692645,0
Grenada,North America,65.8722317,15,223.692645,0
Guadeloupe,North America,211.7951697,16,223.692645,0
Guatemala,North America,24.93462385,17,223.692645,0
Haiti,North America,6.578800545,18,223.692645,0
Honduras,North America,24.5686528,19,223.692645,0
Jamaica,North America,160.1681184,20,223.692645,0
Mexico,North America,157.445931,21,223.692645,0
Nicaragua,North America,25.53061701,22,223.692645,0
Panama,North America,70.14753931,23,223.692645,0
Puerto Rico,North America,0.064213366,24,223.692645,0
Saint Kitts and Nevis,North America,133.027635,25,223.692645,0
Saint Lucia,North America,79.87215955,26,223.692645,0
Saint Vincent and the Grenadines,North America,67.02226113,27,223.692645,0
Australia,Australia,711.9018892,1,223.692645,1
Nauru,Australia,383.5066309,2,223.692645,1
New Zealand,Australia,363.8309992,3,223.692645,1
Palau,Australia,584.9925782,4,223.692645,1
Fiji,Australia,53.16256671,5,223.692645,0
Kiribati,Australia,15.89022495,6,223.692645,0
Marshall Islands,Australia,82.19471241,7,223.692645,0
Micronesia,Australia,32.526059,8,223.692645,0
Papua New Guinea,Australia,16.71157706,9,223.692645,0
Samoa,Australia,30.49891628,10,223.692645,0
Solomon Islands,Australia,14.40752865,11,223.692645,0
Tonga,Australia,41.02253458,12,223.692645,0
Tuvalu,Australia,24.65744342,13,223.692645,0
Vanuatu,Australia,14.54457367,14,223.692645,0
Venezuela,South America,277.5343202,1,223.692645,1
Argentina,South America,185.2593736,2,223.692645,0
Bolivia,South America,43.3696166,3,223.692645,0
Brazil,South America,75.41796767,4,223.692645,0
Chile,South America,148.0872638,5,223.692645,0
Colombia,South America,65.52610366,6,223.692645,0
Ecuador,South America,66.53571402,7,223.692645,0
French Guiana,South America,90.26243692,8,223.692645,0
Guyana,South America,124.3814172,9,223.692645,0
Paraguay,South America,26.23818905,10,223.692645,0
Peru,South America,57.03006603,11,223.692645,0
Suriname,South America,186.4006068,12,223.692645,0
Uruguay,South America,108.4578642,13,223.692645,0
